entity_id	result_ut	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	LDA	SLMP	Liberal	Ind 1	Ind 2	PLSF	Ind 3	DUNF	PFF
EC-01	915166860	964534	29197	993731	1354025	474310	425185	44009	8209	5000	1980	1376	1370	1319	783	355	329	309
EC-01A	915163140	53167	1409	54576	77447	18114	32714	1281	115	408	163	94	86	95	46	26	14	11
EC-01B	915166860	98535	2605	101140	143993	35416	59234	1955	272	424	630	137	104	178	82	53	26	24
EC-01C	915159060	38213	1058	39271	55338	17023	19151	1289	275	148	119	57	42	57	23	13	5	11
EC-01D	915160080	42770	1388	44158	64386	17777	22281	1486	410	419	109	89	59	61	34	19	16	10
EC-01E	915158220	25298	896	26194	40908	7327	16531	406	210	539	92	99	36	17	13	15	7	6
EC-01F	915159360	40194	1446	41640	58407	18683	19126	1346	412	324	86	78	44	33	17	9	20	16
EC-01G	915160500	43964	1500	45464	63466	22868	17572	2514	485	203	94	55	60	42	36	10	18	7
EC-01H	915165420	70133	1819	71952	96164	36907	28681	3385	468	188	107	93	113	97	42	23	16	13
EC-01I	915162180	49636	1675	51311	70424	24782	21455	2075	763	231	47	87	83	37	41	10	10	15
EC-01J	915166740	91490	2530	94020	126119	50535	32951	6170	916	338	91	101	112	102	79	32	34	29
EC-01K	915164880	65182	1495	66677	87913	33957	26903	2976	334	300	109	123	113	158	91	41	30	47
EC-01L	915166560	84123	2383	86506	116577	46823	30859	4878	662	267	91	102	129	140	69	32	34	37
EC-01M	915166140	77081	2876	79957	108622	43584	27338	4168	1119	340	78	82	117	98	68	31	25	33
EC-01N	915166680	89623	2967	92590	121836	51240	31302	5236	940	346	71	101	134	105	70	20	32	26
EC-01O	915166200	79327	2006	81333	105483	41380	33017	3692	431	288	76	72	127	96	70	20	38	20
EC-01P	915157860	15798	1144	16942	16942	7894	6070	1152	397	237	17	6	11	3	2	1	4	4
EC-02	915166500	941619	20768	962387	1247860	532796	353969	40472	4753	2102	1354	1165	1549	1495	878	420	386	280
EC-02A	915165060	66512	1541	68053	88377	32954	30566	2127	184	279	60	72	74	83	47	22	27	17
EC-02B	915164160	58822	1181	60003	83508	28515	28156	1360	106	156	126	74	111	92	55	36	20	15
EC-02C	915165840	76235	1545	77780	100352	45607	27389	2224	261	171	82	92	148	125	71	25	19	21
EC-02D	915164820	65147	941	66088	83077	35245	27007	2046	215	97	54	100	107	127	62	36	21	30
EC-02E	915165600	72025	1619	73644	96907	38075	28456	4213	415	112	198	106	116	150	82	50	31	21
EC-02F	915165720	75491	1514	77005	98927	42314	28328	3658	450	106	98	102	125	134	94	29	33	20
EC-02G	915166080	77828	1933	79761	101470	51204	21709	3608	411	125	212	95	143	133	77	45	52	14
EC-02H	915166500	83682	1780	85462	111814	51606	26257	4433	626	198	63	90	130	114	77	39	26	23
EC-02I	915166020	77852	1759	79611	104076	44098	29726	3089	236	224	82	72	112	82	57	27	21	26
EC-02J	915166260	79574	1809	81383	107701	46703	27771	3941	402	171	99	103	113	122	62	30	30	27
EC-02K	915165000	66907	1081	67988	87240	39214	23857	2794	281	97	81	121	142	137	71	35	48	29
EC-02L	915164940	66442	1443	67885	88034	36550	26061	2825	369	118	94	78	110	114	54	24	27	18
EC-02M	915163800	57190	1582	58772	77425	30947	22215	2940	512	124	103	52	108	76	59	19	19	16
EC-02P	915157980	17912	1040	18952	18952	9764	6471	1214	285	124	2	8	10	6	10	3	12	3
EC-03	915165660	531809	11796	543605	694860	281217	217423	23770	2721	1003	796	1028	1133	1279	608	386	216	229
EC-03A	915165300	69073	2014	71087	91768	39081	24976	3647	596	242	144	81	96	90	60	19	25	16
EC-03B	915165660	73354	1467	74821	93107	40384	28430	3262	384	154	78	139	154	171	90	37	31	40
EC-03C	915165240	69040	1417	70457	86680	37559	27700	2648	308	130	77	126	139	182	79	40	21	31
EC-03D	915162360	50597	991	51588	66212	25424	22879	1397	184	45	69	128	131	156	69	63	24	28
EC-03E	915164580	62565	1492	64057	84575	32352	25813	3221	316	75	74	162	148	183	83	71	35	32
EC-03F	915165180	67413	1540	68953	90723	35751	27131	3369	386	131	105	111	135	127	77	38	21	31
EC-03G	915165120	67321	1145	68466	87513	34369	29585	2421	148	81	159	114	150	160	70	35	14	15
EC-03H	915164400	60813	1226	62039	82145	30128	26506	3014	227	78	86	163	176	208	76	83	34	34
EC-03P	915157440	11633	504	12137	12137	6169	4403	791	172	67	4	4	4	2	4	0	11	2
EC-04	915166620	612811	17060	629871	811606	308187	276360	15512	3280	1065	1706	1614	1369	1775	749	639	265	290
EC-04A	915158580	34774	637	35411	46621	16777	16428	933	134	46	57	93	70	115	41	49	16	15
EC-04B	915166620	87198	2720	89918	120150	40996	41640	2782	384	110	359	230	165	244	91	114	40	43
EC-04C	915162660	52091	1338	53429	63055	32945	17372	928	168	55	122	119	125	134	56	35	12	20
EC-04D	915158700	35993	922	36915	46840	18216	16335	632	113	29	54	186	133	135	60	48	22	30
EC-04E	915158280	27743	720	28463	36214	14497	11955	669	107	34	33	88	109	139	50	34	14	14
EC-04F	915161760	48654	1415	50069	65317	23259	22974	1569	267	60	78	113	74	131	45	43	16	25
EC-04G	915159660	41174	1059	42233	55180	19900	19808	638	108	42	149	128	116	153	51	46	19	16
EC-04H	915159960	42865	1213	44078	59187	19893	20803	1173	431	133	114	73	66	83	38	29	16	13
EC-04I	915158160	25292	624	25916	34410	10101	13809	639	349	105	109	43	34	40	29	14	11	9
EC-04J	915161400	46592	1464	48056	62747	23135	21219	1293	301	103	105	102	61	125	49	54	24	21
EC-04K	915161220	46372	1204	47576	62497	22192	21920	1199	251	68	240	124	83	139	58	45	22	31
EC-04L	915163440	55893	1626	57519	73137	29986	23928	828	244	94	163	161	159	141	90	51	26	22
EC-04M	915162540	51622	1513	53135	69098	28277	20885	1353	184	88	110	149	165	195	86	77	22	31
EC-04P	915157920	16548	605	17153	17153	8013	7284	876	239	98	13	5	9	1	5	0	5	0
EC-05	915165600	216310	6171	222481	292055	111232	91944	7924	902	308	550	860	747	951	343	261	139	149
EC-05A	915165600	71768	1876	73644	97348	35811	30850	3496	233	91	169	270	214	323	132	76	46	57
EC-05B	915159780	42179	1112	43291	53732	24073	16091	1069	112	35	64	181	171	200	74	48	31	30
EC-05C	915160680	44433	1322	45755	64069	21709	20185	1392	239	94	170	172	122	168	56	59	34	33
EC-05D	915162960	52283	1627	53910	71025	26959	22336	1574	264	75	142	235	232	255	78	78	28	27
EC-05P	915156780	5647	234	5881	5881	2680	2482	393	54	13	5	2	8	5	3	0	0	2
EC-06	915166920	313990	8997	322987	402589	147210	152836	5879	1021	812	531	1567	1116	1698	555	413	176	176
EC-06A	915166920	165097	4885	169982	216038	70497	87653	1897	591	489	322	1074	672	1128	326	244	102	102
EC-06B	915160920	44823	1193	46016	59333	22068	20984	826	136	67	71	164	133	211	76	52	22	13
