entity_id	result_ut	valid	rejected	polled	electors	UNP	SLFP	JVP	LSSP	ACTC	NSSP
EC-01	378711120	754031	7990	762021	991194	436290	274476	28580	9655	3022	2008
EC-01A	378706920	42564	575	43139	57534	29380	10641	1645	361	477	60
EC-01B	378711120	93863	740	94603	127452	68346	22061	2121	415	810	110
EC-01C	378704460	33977	305	34282	47123	21383	10946	1058	395	132	63
EC-01D	378705300	35277	426	35703	48760	21367	11268	1352	828	320	142
EC-01E	378703140	28528	314	28842	40375	22115	4751	576	409	521	156
EC-01F	378706140	39076	406	39482	51622	23730	13194	1139	695	201	117
EC-01G	378706020	38084	415	38499	50269	21280	14111	1670	778	99	146
EC-01H	378708840	49118	545	49663	62523	25221	21153	2125	504	29	86
EC-01I	378706800	42341	374	42715	59048	25129	14814	1731	527	32	108
EC-01J	378710700	57297	719	58016	73006	27963	25275	3338	569	33	119
EC-01K	378709740	52329	551	52880	62628	26648	23481	1687	238	70	205
EC-01L	378710100	54102	548	54650	68955	27981	23135	2140	591	50	205
EC-01M	378710220	54525	593	55118	71597	26967	23874	2595	946	27	116
EC-01N	378710460	55407	530	55937	71002	25576	26553	2248	851	29	150
EC-01O	378710940	58782	707	59489	80297	32096	22744	2625	1137	43	137
EC-01P	378701760	18761	242	19003	19003	11108	6475	530	411	149	88
EC-02	378710880	696847	5992	702839	849896	365847	301808	23701	3835	534	1122
EC-02A	378708240	46916	425	47341	58015	29387	15717	1402	232	119	59
EC-02B	378707580	45200	412	45612	59884	30346	13345	1049	236	97	127
EC-02C	378709260	50361	437	50798	60560	26504	22027	1356	334	36	104
EC-02D	378709500	51306	432	51738	61494	25974	23447	1547	231	28	79
EC-02E	378710820	58030	478	58508	70695	30289	24143	3186	316	29	67
EC-02F	378710760	57870	399	58269	69566	29672	25849	1992	260	27	70
EC-02G	378710640	56321	430	56751	67061	22531	31495	1926	272	32	65
EC-02H	378710880	58789	517	59306	72371	27845	28532	1942	336	33	101
EC-02I	378710520	55709	488	56197	69624	32420	21074	1683	346	29	157
EC-02J	378710040	53778	418	54196	65660	25853	25580	1952	307	17	69
EC-02K	378710580	56088	519	56607	66207	26573	27508	1670	247	33	57
EC-02L	378707820	45623	410	46033	55457	25398	18539	1389	237	13	47
EC-02M	378708120	46372	480	46852	58671	24732	19050	2179	312	25	74
EC-02P	378701460	14484	147	14631	14631	8323	5502	428	169	16	46
EC-03	378710340	421892	5290	427182	508744	211592	185874	14499	8613	443	871
EC-03A	378710340	54512	677	55189	67549	26648	23861	2011	1776	27	189
EC-03B	378710280	54560	628	55188	65013	26631	25500	1583	730	35	81
EC-03C	378709800	52528	459	52987	61356	27056	23518	1361	359	48	186
EC-03D	378707220	43194	582	43776	51297	21486	20068	998	521	64	57
EC-03E	378709440	50545	741	51286	61809	24494	23154	2164	537	107	89
EC-03F	378709980	53323	612	53935	64944	26167	22992	2306	1707	39	112
EC-03G	378709860	52801	544	53345	64357	27951	22349	1812	608	39	42
EC-03H	378709560	51003	944	51947	62890	25681	21041	2043	2079	80	79
EC-03P	378701280	9426	103	9529	9529	5478	3391	221	296	4	36
EC-04	378711000	484297	4548	488845	546565	289621	178647	12493	2256	562	718
EC-04A	378703740	30888	214	31102	35940	17778	11874	1092	98	18	28
EC-04B	378711000	70224	605	70829	82590	43186	23301	3374	230	42	91
EC-04C	378705060	34862	382	35244	41888	22158	11783	669	161	37	54
EC-04D	378703020	28228	358	28586	31788	15284	12242	456	157	38	51
EC-04E	378702780	27012	267	27279	3145	13258	12747	821	100	56	30
EC-04F	378705000	34743	355	35098	41314	20421	12898	1138	180	60	46
EC-04G	378704220	33240	414	33654	38947	20296	12286	419	165	43	31
EC-04H	378704640	34269	277	34546	43442	20105	13219	621	199	32	93
EC-04I	378702240	22930	203	23133	29751	15729	6498	408	149	64	82
EC-04J	378706320	39590	325	39915	46731	20848	17596	964	131	15	36
EC-04K	378705540	36616	246	36862	43223	23440	12100	852	150	27	47
EC-04L	378706860	42541	394	42935	50563	26380	15340	528	188	60	45
EC-04M	378706200	39453	411	39864	47445	24586	13512	961	264	64	66
EC-04P	378701400	9701	97	9798	9798	6152	3251	190	84	6	18
EC-05	378709680	161814	1414	163228	189867	94031	59299	7169	866	253	196
EC-05A	378709680	52012	385	52397	60536	27368	21748	2501	309	46	40
EC-05B	378703800	30889	272	31161	35129	17354	12149	1158	155	39	34
EC-05C	378705480	35771	332	36103	43705	22452	11632	1400	153	85	49
EC-05D	378706560	40580	396	40976	47906	25183	12982	2033	239	82	61
EC-05P	378700740	2562	29	2591	2591	1674	788	77	10	1	12
EC-06	378711060	172769	2048	174817	203968	109017	57093	4569	1201	558	331
EC-06A	378711060	71006	950	71956	86487	49414	18543	1892	632	380	145
EC-06B	378704040	31565	320	31885	37124	18684	12036	616	146	51	32
EC-06C	378704820	34398	368	34766	39853	20672	12414	983	202	50	77
EC-06D	378704340	33723	397	34120	38414	18957	13391	1023	208	74	70
EC-06P	378700620	2077	13	2090	2090	1290	709	55	13	3	7
EC-07	378708780	421138	5198	426336	520909	211544	180925	20962	6391	425	891
EC-07A	378703320	28541	546	29087	37444	14949	9295	1178	3060	14	45
EC-07B	378705660	36881	474	37355	45086	17784	16225	2271	515	22	64
EC-07C	378704160	33084	367	33451	41355	17060	12732	3026	181	45	40
EC-07D	378708540	47978	686	48664	58596	23668	21805	2106	294	36	69
EC-07E	378708780	48821	605	49426	57075	27209	19649	1629	210	60	64
EC-07F	378708660	48560	540	49100	59040	22301	23689	1981	381	79	129
EC-07G	378707700	45025	748	45773	55193	20801	20798	2409	907	39	71
EC-07H	378705960	38015	389	38404	51574	23785	11508	2279	255	63	125
EC-07I	378706740	41780	389	42169	51073	20269	19623	1533	188	32	135
EC-07J	378707340	44126	361	44487	56053	18960	22600	2239	180	34	113
EC-07P	378701220	8327	93	8420	8420	4758	3001	311	220	1	36
EC-08	378709200	333983	3091	337074	406595	164725	144587	22117	1571	474	509
EC-08A	378706980	42845	428	43273	49817	22457	18147	1886	220	72	63
EC-08B	378708480	48201	420	48621	57203	22146	22984	2711	228	61	71
EC-08C	378709200	50261	421	50682	59798	24667	20389	4781	246	108	70
EC-08D	378707940	45614	437	46051	57400	20549	21408	3267	229	83	78
EC-08E	378707880	45583	457	46040	56693	22605	17757	4874	246	49	52
EC-08F	378707460	44866	408	45274	56252	23221	19333	2067	156	22	67
EC-08G	378709140	49975	451	50426	62725	25051	22282	2276	198	78	90
EC-08P	378701160	6638	69	6707	6707	4029	2287	255	48	1	18
EC-09	378710160	197278	1804	199082	244660	90545	76402	28835	877	275	344
EC-09A	378707520	44993	484	45477	57491	18964	19605	5966	247	97	114
EC-09B	378707760	45531	378	45909	56254	21056	18150	5957	227	63	78
EC-09C	378709080	49733	397	50130	58690	23196	17253	8966	183	57	78
EC-09D	378710160	54339	523	54862	69521	25656	20624	7724	212	58	65
EC-09P	378700800	2682	22	2704	2704	1673	770	222	8	0	9
EC-10	378702480	218003	10610	228613	498545	44775	77210	3098	3376	87263	2176
EC-10A	378701580	16187	943	17130	42563	4067	3393	119	157	8353	98
EC-10B	378702300	22103	1076	23179	46206	3700	7770	380	257	9741	255
EC-10C	378702000	20194	1078	21272	51681	3771	9523	341	310	6065	184
EC-10D	378702360	22330	1069	23399	48930	4463	9008	559	483	7514	298
EC-10E	378702480	23282	1023	24305	49577	3546	13678	379	423	4984	182
EC-10F	378701700	17001	816	17817	43990	2282	8155	208	353	5779	224
EC-10G	378701520	15469	585	16054	34859	3198	6348	189	217	5367	150
EC-10H	378702060	20247	1205	21452	44597	3629	6128	204	419	9742	125
EC-10I	378701880	18959	894	19853	49233	4831	4330	244	332	8979	243
EC-10J	378701940	19502	711	20213	42296	6419	3258	176	134	9319	186
EC-10K	378701820	18087	1012	19099	39773	3616	4188	188	171	9822	102
EC-10P	378701040	4642	198	4840	4840	1253	1431	111	120	1598	129
EC-11	378702900	70739	2447	73186	120235	32834	23221	2286	584	11521	293
EC-11A	378702900	27502	486	27988	40965	17008	8039	279	174	1891	111
EC-11B	378702720	25897	947	26844	43656	11720	9385	1764	252	2689	87
EC-11C	378701640	16241	971	17212	34472	3678	5471	204	150	6654	84
EC-11P	378700260	1099	43	1142	1142	428	326	39	8	287	11
EC-12	378710400	120076	2879	122955	174276	48094	21688	1287	1294	47095	618
EC-12A	378703680	29911	880	30791	46195	15950	7994	258	304	5250	155
EC-12B	378710400	54727	1120	55847	80394	24220	9922	580	438	19338	229
EC-12C	378704580	33708	813	34521	45891	7129	3485	415	531	21918	230
EC-12P	378700560	1730	66	1796	1796	795	287	34	21	589	4
EC-13	378709920	160970	2101	163071	205838	90772	53096	7679	967	8079	377
EC-13A	378709920	53099	486	53585	64740	29049	20552	3039	278	96	85
EC-13B	378703200	28476	374	28850	35982	19079	6710	1197	221	1214	55
EC-13C	378703260	28599	449	29048	37509	18347	8197	861	153	926	115
EC-13D	378708960	49240	778	50018	66037	23286	17265	2518	304	5748	119
EC-13P	378700500	1556	14	1570	1570	1011	372	64	11	95	3
EC-14	378704880	93596	1795	95391	134948	45522	31700	5395	635	10068	276
EC-14A	378704880	34455	440	34895	43980	15823	13097	3536	211	1708	80
EC-14B	378702840	26872	777	27649	49244	14503	5424	1305	174	5366	100
EC-14C	378703920	31009	536	31545	40422	14529	12900	509	228	2760	83
EC-14P	378700440	1260	42	1302	1302	667	279	45	22	234	13
EC-15	378709380	619978	5431	625409	727202	345769	248479	21835	2594	509	792
EC-15A	378708180	46568	369	46937	53576	23438	20998	1882	178	34	38
EC-15B	378707160	43441	314	43755	50467	24544	17307	1262	242	35	51
EC-15C	378709320	50518	317	50835	58528	27489	20566	2141	201	31	90
EC-15D	378708000	45559	580	46139	55516	28098	15608	1496	267	41	49
EC-15E	378705720	37408	325	37733	43670	21220	14914	1060	156	21	37
EC-15F	378705900	37721	384	38105	43356	21475	14991	1048	148	22	37
EC-15G	378707280	44158	257	44415	50788	23479	19760	742	116	32	29
EC-15H	378708720	48924	324	49248	57167	25597	21050	2003	198	31	45
EC-15I	378708900	49506	391	49897	57287	28797	19142	1247	231	33	56
EC-15J	378709380	50512	350	50862	58869	28872	19429	1897	198	50	66
EC-15K	378706500	40134	637	40771	47812	22384	16625	911	124	36	54
EC-15L	378706260	39593	295	39888	50454	23370	14638	1300	159	38	88
EC-15M	378706680	41064	435	41499	48522	23127	16033	1580	203	51	70
EC-15N	378705180	35291	337	35628	41493	17538	14470	3048	133	52	50
EC-15P	378701340	9581	116	9697	9697	6341	2948	218	40	2	32
EC-16	378709020	217980	1995	219975	270207	128877	80006	7001	1040	817	239
EC-16A	378704700	34171	389	34560	45817	24089	8448	706	290	592	46
EC-16B	378707100	43218	458	43676	54207	20789	19757	2370	182	48	72
EC-16C	378709020	49617	479	50096	61128	30142	17553	1525	243	109	45
EC-16D	378706620	40818	357	41175	49638	23324	16299	1016	119	23	37
EC-16E	378708360	47647	289	47936	56885	28801	17293	1318	171	31	33
EC-16P	378700680	2509	23	2532	2532	1732	656	66	35	14	6
EC-17	378708060	236523	2294	238817	282018	117873	102973	13911	1148	222	396
EC-17A	378704940	34645	350	34995	41463	16590	15079	2749	144	31	52
EC-17B	378703980	31234	347	31581	36657	15259	13029	2719	166	32	29
EC-17C	378704100	32982	366	33348	41615	15856	14944	1891	187	45	59
EC-17D	378705420	35678	249	35927	42409	18894	15054	1486	172	32	40
EC-17E	378708060	45678	474	46152	54762	22467	20442	2410	180	32	147
EC-17F	378702600	24322	249	24571	28761	11300	10965	1813	180	34	30
EC-17G	378703080	28610	209	28819	32927	15454	12281	733	98	13	31
EC-17P	378700860	3374	50	3424	3424	2053	1179	110	21	3	8
EC-18	378705360	105615	1064	106679	128822	59414	37243	8138	451	228	141
EC-18A	378704520	33989	315	34304	40329	17728	12818	3181	169	35	58
EC-18B	378705120	35023	312	35335	43240	20324	11777	2736	140	24	22
EC-18C	378705360	35416	426	35842	44055	20616	12286	2161	133	166	54
EC-18P	378700320	1187	11	1198	1198	746	362	60	9	3	7
EC-19	378703860	240440	2982	243422	284801	141062	88462	7713	2115	625	463
EC-19A	378703500	29148	287	29435	33514	21340	7076	443	229	27	33
EC-19B	378702420	23703	289	23992	27455	12251	10836	242	237	62	75
EC-19C	378702540	24018	395	24413	28077	14400	8830	379	230	118	61
EC-19D	378702180	22003	228	22231	27419	12435	8485	717	253	76	37
EC-19E	378702660	25778	351	26129	30598	14196	10249	1011	212	69	41
EC-19F	378703440	28993	335	29328	33670	17564	9251	1851	206	54	67
EC-19G	378703860	30791	437	31228	36128	18673	10078	1745	199	61	35
EC-19H	378703560	29522	375	29897	35570	15718	12755	652	245	97	55
EC-19I	378702120	21913	242	22155	27756	11822	9257	482	242	55	55
EC-19P	378700980	4571	43	4614	4614	2663	1645	191	62	6	4
EC-20	378705780	103821	1553	105374	127799	51264	44115	7171	882	163	226
EC-20A	378703620	30260	458	30718	35895	16821	11820	1180	313	55	71
EC-20B	378705240	35126	526	35652	41675	16836	16060	1721	343	73	93
EC-20C	378705780	37200	563	37763	48988	16874	15797	4225	214	35	55
EC-20P	378700380	1235	6	1241	1241	733	438	45	12	0	7
EC-21	378709620	345604	3407	349011	406275	175903	152506	11283	1996	422	3494
EC-21A	378708420	47627	855	48482	56592	23721	19742	851	272	54	2987
EC-21B	378709620	51453	499	51952	61986	24765	25402	860	273	51	102
EC-21C	378704280	33754	340	34094	38662	17212	15106	1126	214	35	61
EC-21D	378707640	45366	336	45702	51837	22923	20679	1440	195	76	53
EC-21E	378707400	44671	289	44960	51385	24986	17936	1339	291	62	57
EC-21F	378707040	42962	324	43286	48510	21556	20308	779	205	52	62
EC-21G	378702960	28293	237	28530	32904	13806	13644	629	129	33	52
EC-21H	378708300	47427	505	47932	60326	24459	18287	4161	378	59	83
EC-21P	378700920	4051	22	4073	4073	2475	1402	98	39	0	37
EC-22	378708600	342762	4537	347299	411994	195444	126538	13706	6184	376	514
EC-22A	378708600	48448	538	48986	57629	26926	18803	2201	432	45	41
EC-22B	378705840	37407	490	37897	45109	19599	15842	1477	403	32	54
EC-22C	378705600	36735	443	37178	45146	20184	14567	1506	384	31	63
EC-22D	378704760	34355	328	34683	41612	19130	13220	1799	168	17	21
EC-22E	378706440	40166	275	40441	48873	24108	13814	1945	219	29	51
EC-22F	378703380	29022	219	29241	34504	17183	10433	1197	154	26	29
EC-22G	378706080	38253	771	39024	45811	22889	12517	862	1838	78	69
EC-22H	378706380	39399	856	40255	47333	22645	13749	1198	1683	52	72
EC-22I	378704400	33576	572	34148	40531	19249	11997	1371	789	66	104
EC-22P	378701100	5401	45	5446	5446	3531	1596	150	114	0	10
LK-1	378711120	1872770	19272	1892042	2349834	1013729	762158	66780	22103	3999	4001
LK-11	378711120	754031	7990	762021	991194	436290	274476	28580	9655	3022	2008
LK-12	378710880	696847	5992	702839	849896	365847	301808	23701	3835	534	1122
LK-13	378710340	421892	5290	427182	508744	211592	185874	14499	8613	443	871
LK-2	378711060	818880	8010	826890	940400	492669	295039	24231	4323	1373	1245
LK-21	378711000	484297	4548	488845	546565	289621	178647	12493	2256	562	718
LK-22	378709680	161814	1414	163228	189867	94031	59299	7169	866	253	196
LK-23	378711060	172769	2048	174817	203968	109017	57093	4569	1201	558	331
LK-3	378710160	952399	10093	962492	1172164	466814	401914	71914	8839	1174	1744
LK-31	378708780	421138	5198	426336	520909	211544	180925	20962	6391	425	891
LK-32	378709200	333983	3091	337074	406595	164725	144587	22117	1571	474	509
LK-33	378710160	197278	1804	199082	244660	90545	76402	28835	877	275	344
LK-4	378702900	288742	13057	301799	618780	77609	100431	5384	3960	98784	2469
LK-42	378702900	27502	486	27988	40965	17008	8039	279	174	1891	111
LK-43	378702720	25897	947	26844	43656	11720	9385	1764	252	2689	87
LK-44	378701640	16241	971	17212	34472	3678	5471	204	150	6654	84
LK-45	378701820	18087	1012	19099	39773	3616	4188	188	171	9822	102
LK-5	378710400	374642	6775	381417	515062	184388	106484	14361	2896	65242	1271
LK-51	378710400	120076	2879	122955	174276	48094	21688	1287	1294	47095	618
LK-52	378709920	160970	2101	163071	205838	90772	53096	7679	967	8079	377
LK-53	378704880	93596	1795	95391	134948	45522	31700	5395	635	10068	276
LK-6	378709380	837958	7426	845384	997409	474646	328485	28836	3634	1326	1031
LK-61	378709380	619978	5431	625409	727202	345769	248479	21835	2594	509	792
LK-62	378709020	217980	1995	219975	270207	128877	80006	7001	1040	817	239
LK-7	378708060	342138	3358	345496	410840	177287	140216	22049	1599	450	537
LK-71	378708060	236523	2294	238817	282018	117873	102973	13911	1148	222	396
LK-72	378705360	105615	1064	106679	128822	59414	37243	8138	451	228	141
LK-8	378705780	344261	4535	348796	412600	192326	132577	14884	2997	788	689
LK-81	378703860	240440	2982	243422	284801	141062	88462	7713	2115	625	463
LK-82	378705780	103821	1553	105374	127799	51264	44115	7171	882	163	226
LK-9	378709620	688366	7944	696310	818269	371347	279044	24989	8180	798	4008
LK-91	378709620	345604	3407	349011	406275	175903	152506	11283	1996	422	3494
LK-92	378708600	342762	4537	347299	411994	195444	126538	13706	6184	376	514
