entity_id	result_ut	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
EC-01	1420090260	1296360	15334	1311694	1612660	702	978	181	126	525	214	346	715	1007	725073	786	274	479	321	943	562614	716	236	124
EC-01A	1420085460	68649	1146	69795	89771	59	90	15	9	50	17	29	39	101	51537	75	25	10	25	61	16423	48	28	8
EC-01B	1420089120	101497	1237	102734	131482	120	298	19	17	69	26	32	59	185	82495	131	44	22	43	73	17779	39	25	21
EC-01C	1420081920	46990	547	47537	60109	31	36	5	2	21	15	16	22	78	31469	37	7	16	7	37	15148	30	10	3
EC-01D	1420082520	52137	668	52805	66941	25	32	3	5	36	11	21	31	47	35167	33	14	13	16	23	16601	32	18	9
EC-01E	1420080840	30275	325	30600	40609	12	14	8	4	19	6	12	8	21	23915	15	9	8	11	12	6164	13	22	2
EC-01F	1420081980	47169	599	47768	59812	28	39	9	3	9	5	12	26	34	30955	17	8	21	6	32	15932	14	14	5
EC-01G	1420082700	53004	680	53684	66793	18	26	7	7	22	10	15	29	29	29554	25	11	24	9	30	23144	31	10	3
EC-01H	1420088820	97336	1275	98611	120617	62	129	8	10	27	18	28	46	90	56835	86	21	38	22	80	39767	50	15	4
EC-01I	1420083840	59588	703	60291	74934	17	17	14	3	22	12	10	22	41	34614	27	7	28	7	39	24663	33	6	6
EC-01J	1420090200	140642	1534	142176	173355	64	57	18	5	41	15	31	80	70	68886	81	27	75	35	84	70970	84	8	11
EC-01K	1420088460	94880	1032	95912	117472	67	61	16	11	57	15	19	84	66	42728	80	26	30	39	112	51351	80	28	10
EC-01L	1420090260	141762	1481	143243	174909	70	55	21	15	36	19	23	67	74	63563	53	26	50	33	128	77415	80	21	13
EC-01M	1420089240	105353	1220	106573	129801	27	37	12	13	39	7	38	65	57	51480	38	16	47	17	66	53327	49	7	11
EC-01N	1420090140	135983	1393	137376	164774	54	45	14	12	40	21	30	85	57	61116	56	17	53	24	83	74189	70	7	10
EC-01O	1420088580	95981	958	96939	115219	45	39	11	7	30	14	27	31	49	48599	28	14	24	25	78	46885	57	14	4
EC-01P	1420080480	25114	536	25650	26062	3	3	1	3	7	3	3	21	8	12160	4	2	20	2	5	12856	6	3	4
EC-02	1420089780	1342496	14647	1357143	1680263	930	859	192	140	566	216	281	780	872	669007	668	257	409	399	1249	664347	1033	169	122
EC-02A	1420088520	95311	1332	96643	120471	59	84	20	14	65	17	21	60	108	56541	57	32	26	25	82	38001	69	23	7
EC-02B	1420087320	79482	871	80353	106213	65	83	22	13	48	19	17	50	110	53331	62	22	16	42	64	25432	62	17	7
EC-02C	1420089600	113635	1505	115140	143885	84	64	19	7	48	19	22	47	84	58507	57	30	35	35	119	54355	77	12	14
EC-02D	1420088040	86583	701	87284	108529	83	64	14	8	30	20	19	57	67	40112	45	11	23	26	95	45813	75	11	10
EC-02E	1420088760	97147	880	98027	124679	82	53	20	11	55	17	18	51	69	45202	48	14	27	28	104	51244	81	17	6
EC-02F	1420089360	107270	986	108256	132981	88	66	11	10	54	21	25	55	61	51581	53	21	30	39	125	54929	73	21	7
EC-02G	1420089300	105931	1024	106955	133023	98	91	16	9	44	19	26	50	57	50380	48	17	40	35	86	54777	100	22	16
EC-02H	1420089720	118564	1222	119786	147280	70	54	13	14	44	13	23	85	57	53922	40	21	42	28	102	63962	61	7	6
EC-02I	1420089540	112797	1584	114381	143843	70	53	10	16	41	14	24	52	62	58669	49	24	28	27	89	53481	73	4	11
EC-02J	1420089780	120381	1154	121535	149453	68	61	12	11	33	17	30	87	51	55334	63	20	25	32	94	64314	112	8	9
EC-02K	1420088340	93871	878	94749	115356	72	62	16	6	26	11	19	52	38	38491	51	14	32	36	109	54714	104	11	7
EC-02L	1420088880	99433	997	100430	121702	49	56	4	8	27	13	13	75	56	48667	46	18	34	22	89	50173	62	8	13
EC-02M	1420086000	71260	859	72119	90122	35	63	9	10	35	14	19	34	46	37884	45	8	30	19	79	32856	63	6	5
EC-02P	1420081560	40831	654	41485	42726	7	5	6	3	16	2	5	25	6	20386	4	5	21	5	12	20296	21	2	4
