file	table_name	space_id	time_id	attr_id	n_data_list	file_size	value_key_list_str
country.latest.basic.tsv	country.latest.basic	country	latest	basic	1	86	
district.latest.basic.tsv	district.latest.basic	district	latest	basic	25	6982	
dsd.latest.basic.tsv	dsd.latest.basic	dsd	latest	basic	331	181963	
ed.latest.basic.tsv	ed.latest.basic	ed	latest	basic	22	5551	
gnd.latest.basic.tsv	gnd.latest.basic	gnd	latest	basic	14021	2580047	
lg.latest.basic.tsv	lg.latest.basic	lg	latest	basic	338	199126	
moh.latest.basic.tsv	moh.latest.basic	moh	latest	basic	333	201645	
pd.latest.basic.tsv	pd.latest.basic	pd	latest	basic	182	58027	
province.latest.basic.tsv	province.latest.basic	province	latest	basic	9	1439	
regions.2012_census.age_group_of_population.tsv	regions.2012_census.age_group_of_population	regions	2012_census	age_group_of_population	15208	1121571	10_19;20_29;30_39;40_49;50_59;60_69;70_79;less_than_10
regions.2012_census.communication_items_owned_by_household.tsv	regions.2012_census.communication_items_owned_by_household	regions	2012_census	communication_items_owned_by_household	15204	1469428	fixed_tp;laptop;mobile;pc;radio;tv
regions.2012_census.cooking_fuel_of_household.tsv	regions.2012_census.cooking_fuel_of_household	regions	2012_census	cooking_fuel_of_household	15204	689132	electricity;fire_wood;gas;kerosene;other;saw_dust_or_paddy_husk
regions.2012_census.ethnicity_of_population.tsv	regions.2012_census.ethnicity_of_population	regions	2012_census	ethnicity_of_population	15220	897209	burgher;chetty;indian_tamil;malay;moor;other;sinhalese;sri_lankan_tamil
regions.2012_census.floor_type_in_housing_unit.tsv	regions.2012_census.floor_type_in_housing_unit	regions	2012_census	floor_type_in_housing_unit	15204	773284	cement;concrete;mud;other;sand;tile_or_granite_or_terrazo
regions.2012_census.gender_of_population.tsv	regions.2012_census.gender_of_population	regions	2012_census	gender_of_population	15208	473971	female;male
regions.2012_census.households_living_in_housing_unit.tsv	regions.2012_census.households_living_in_housing_unit	regions	2012_census	households_living_in_housing_unit	15204	613239	1_household;2_households;3_households
regions.2012_census.housing_ownership_status_of_household.tsv	regions.2012_census.housing_ownership_status_of_household	regions	2012_census	housing_ownership_status_of_household	15204	699228	encroached;occupied_free_of_rent;other;owned_by_a_household_member;rent_or_lease_government_owned;rent_or_lease_privately_owned
regions.2012_census.lighting_of_household.tsv	regions.2012_census.lighting_of_household	regions	2012_census	lighting_of_household	15204	688799	electricity_national_electricity_network;electricity_rural_hydro_electricity_projects;kerosene;other;solar_power
regions.2012_census.living_quarters.tsv	regions.2012_census.living_quarters	regions	2012_census	living_quarters	15208	492617	collective_living_quarter;housing_unit;non_housing_unit
regions.2012_census.marital_status_of_population.tsv	regions.2012_census.marital_status_of_population	regions	2012_census	marital_status_of_population	15208	880050	married_customary;married_registered;never_married
regions.2012_census.occupation_status_of_housing_units.tsv	regions.2012_census.occupation_status_of_housing_units	regions	2012_census	occupation_status_of_housing_units	15205	445615	occupied;vacant
regions.2012_census.persons_living_in_housing_unit.tsv	regions.2012_census.persons_living_in_housing_unit	regions	2012_census	persons_living_in_housing_unit	15204	1009983	10_or_more;1_person;2_persons;3_persons;4_persons;5_persons;6_persons;7_persons;8_persons;9_persons
regions.2012_census.relationship_to_household_head_of_population.tsv	regions.2012_census.relationship_to_household_head_of_population	regions	2012_census	relationship_to_household_head_of_population	15208	1205127	boarder;clergy;domestic_employee;grandchild_or_great_grand_child;head;non_relative;other_relative;son_or_daughter;wife_or_husband
regions.2012_census.religious_affiliation_of_population.tsv	regions.2012_census.religious_affiliation_of_population	regions	2012_census	religious_affiliation_of_population	15220	722594	buddhist;hindu;islam;other;other_christian;roman_catholic
