entity_id	result_ut	valid	rejected	polled	electors	UPFA	NDF	SLLP	DUNF	UDF	JSP	Ind 1	LF	ONF	NSH	Ind 3	Ind 5	USP	Ind 2	SEP	JP	NA	Ind 4	UNAF	RPP	PNF	ACAKO
EC-01	1262324160	1161382	11394	1172776	1541242	614740	533022	1798	1606	1579	1540	1219	1052	680	629	600	548	544	437	338	176	169	154	144	143	136	128
EC-01A	1262319840	61715	1022	62737	95385	17605	42896	99	197	222	72	57	112	80	89	26	86	43	29	32	9	12	10	10	7	8	14
EC-01B	1262323380	96826	1320	98146	139822	21824	73152	170	259	387	96	67	113	134	105	49	81	86	73	32	23	45	30	29	25	23	23
EC-01C	1262315880	41132	543	41675	58757	16909	23636	109	67	65	34	47	46	34	29	28	28	23	16	11	7	7	7	7	8	6	8
EC-01D	1262317080	48295	699	48994	68643	19107	28334	207	81	74	43	30	109	38	30	31	66	44	19	25	14	13	4	14	3	4	5
EC-01E	1262315160	26030	444	26474	38921	6350	19211	33	45	43	20	18	104	18	19	29	63	10	12	21	1	5	5	8	5	5	5
EC-01F	1262316240	44383	465	44848	61194	19457	24441	63	52	33	34	39	73	18	22	25	43	14	19	12	6	8	7	5	2	5	5
EC-01G	1262317320	49316	512	49828	66622	26215	22589	71	46	44	59	45	55	24	22	22	17	22	24	17	7	10	7	7	3	6	4
EC-01H	1262322840	86486	893	87379	112363	46002	39497	178	135	120	106	96	43	63	47	28	15	39	36	17	10	15	7	7	14	7	4
EC-01I	1262318700	55825	557	56382	73009	29125	26129	136	55	46	45	56	51	31	19	33	10	24	16	9	8	4	2	6	4	10	6
EC-01J	1262324160	122276	850	123126	158736	76103	45082	124	127	105	179	132	47	40	45	75	20	45	41	26	17	8	18	11	13	11	7
EC-01K	1262322420	83732	689	84421	108138	53664	28875	94	151	129	215	148	68	43	42	52	42	56	37	30	12	9	13	10	17	16	9
EC-01L	1262324100	121279	770	122049	155720	80799	39414	115	143	84	217	131	52	42	39	52	23	37	33	24	18	10	13	7	11	7	8
EC-01M	1262323200	95255	768	96023	121247	59360	35162	107	65	51	103	109	49	23	30	40	17	29	23	26	13	4	9	12	6	10	7
EC-01N	1262324040	119006	803	119809	148696	77474	40474	134	106	83	189	134	47	50	53	70	16	33	33	34	19	7	10	7	13	11	9
EC-01O	1262322960	90752	745	91497	114601	52627	37233	157	69	86	125	108	67	42	37	38	19	35	23	21	8	12	11	4	11	7	12
EC-01P	1262314620	19074	314	19388	19388	12119	6897	1	8	7	3	2	16	0	1	2	2	4	3	1	4	0	1	0	1	0	2
EC-02	1262323800	1165648	8960	1174608	1505363	718716	434506	992	2059	1230	1979	1379	510	524	500	710	303	499	526	238	168	146	173	135	130	123	102
EC-02A	1262322120	79160	830	79990	103893	39316	38789	97	215	110	140	82	60	48	50	50	42	37	35	22	11	12	8	12	5	10	9
EC-02B	1262321340	69723	650	70373	96028	32125	36669	67	187	138	122	69	48	50	32	35	48	27	34	14	7	11	14	7	7	10	2
EC-02C	1262323620	99197	767	99964	127421	59558	38605	72	150	105	117	142	54	48	46	82	37	40	34	25	14	16	12	10	8	13	9
EC-02D	1262322060	77624	476	78100	99742	48149	28518	61	197	90	145	108	24	38	43	55	15	41	44	14	16	9	12	17	11	9	8
EC-02E	1262322660	85933	719	86652	114566	54697	30169	89	160	101	168	131	30	43	38	74	22	58	65	10	16	16	7	10	11	10	8
EC-02F	1262323140	94435	618	95053	120860	60318	33057	54	235	101	184	111	49	43	38	49	19	45	39	18	14	13	14	9	6	10	9
EC-02G	1262323080	92515	645	93160	120900	61337	30110	77	136	91	202	121	46	47	49	57	26	41	60	26	15	11	19	10	14	9	11
EC-02H	1262323800	104927	682	105609	133606	71811	32262	65	122	78	129	114	40	35	40	55	11	35	43	15	6	8	18	6	21	9	4
EC-02I	1262323320	97279	692	97971	127821	56726	39701	77	149	73	140	73	32	35	34	45	15	40	31	23	10	11	17	24	10	7	6
EC-02J	1262323740	104905	629	105534	134581	69085	34807	76	136	98	216	123	40	36	28	49	17	36	42	24	23	11	15	6	8	12	17
EC-02K	1262322240	81324	484	81808	104155	56758	23619	59	124	81	208	137	25	31	37	74	17	29	38	20	12	12	13	6	10	6	8
EC-02L	1262322480	84611	629	85240	107786	52066	31762	100	102	68	118	91	25	40	35	54	20	34	28	8	10	7	14	8	7	10	4
EC-02M	1262320020	63671	584	64255	83105	36242	26740	90	124	85	84	67	18	27	28	24	13	28	31	16	7	9	10	7	8	7	6
EC-02P	1262315400	30344	555	30899	30899	20528	9698	8	22	11	6	10	19	3	2	7	1	8	2	3	7	0	0	3	4	1	1
EC-03	1262323260	654249	4541	658790	833360	412562	231807	765	1242	1181	1683	1075	305	421	453	582	248	472	379	224	143	159	154	76	120	120	78
EC-03A	1262322360	82947	553	83500	105569	50772	31319	77	96	112	122	100	49	42	33	50	15	34	26	19	10	11	22	11	16	5	6
EC-03B	1262323260	95892	558	96450	118942	62363	32290	107	140	122	203	156	27	68	52	79	33	57	67	29	22	18	13	10	15	8	13
EC-03C	1262322780	86366	666	87032	108781	57292	27818	89	155	107	209	130	44	62	71	85	39	65	51	27	13	21	22	8	18	27	13
EC-03D	1262319240	58456	423	58879	74991	38018	19073	119	233	163	190	103	39	49	62	77	40	69	47	41	23	26	24	7	21	22	10
EC-03E	1262321820	75482	564	76046	99737	47988	26016	108	183	233	275	124	42	56	53	77	47	73	44	34	29	21	21	15	17	22	4
EC-03F	1262322300	82085	581	82666	106878	51330	29719	76	129	111	218	133	30	40	43	63	24	43	34	25	7	15	17	1	7	8	12
EC-03G	1262322180	80558	523	81081	104363	43787	35678	80	133	153	172	124	27	54	60	78	12	44	49	22	10	23	16	7	12	10	7
EC-03H	1262321700	72523	486	73009	93972	47317	23717	107	168	173	286	195	41	49	76	72	36	83	57	23	25	22	18	14	14	18	12
EC-03P	1262314800	19940	187	20127	20127	13695	6177	2	5	7	8	10	6	1	3	1	2	4	4	4	4	2	1	3	0	0	1
EC-04	1262323920	750786	8700	759486	1001074	406636	329492	1059	2810	1624	1950	1200	462	703	848	711	442	600	523	305	216	295	243	139	192	178	158
EC-04A	1262315820	38836	300	39136	52553	22703	15338	75	170	84	120	59	17	30	36	42	19	28	30	10	13	13	14	3	13	6	13
EC-04B	1262323920	109714	1161	110875	147475	56508	51406	107	277	240	249	148	59	91	124	112	34	84	63	47	14	33	29	18	27	22	22
EC-04C	1262319120	57703	838	58541	78688	28628	27692	108	238	162	167	97	33	68	84	66	50	71	52	36	27	29	24	15	19	17	20
EC-04D	1262315940	41613	397	42010	55629	27179	13220	89	265	97	183	132	30	51	58	68	30	44	51	19	15	18	17	13	11	17	6
EC-04E	1262315460	33876	509	34385	45144	19009	13957	45	183	105	119	75	27	47	62	45	21	35	37	22	14	12	18	8	14	9	12
EC-04F	1262320560	65060	656	65716	85857	36212	27852	73	209	113	119	79	40	49	62	50	29	39	26	26	9	12	16	10	12	15	8
EC-04G	1262316960	47721	674	48395	65176	24601	21791	119	295	136	202	94	38	71	56	62	41	52	35	8	21	31	26	8	12	17	5
EC-04H	1262318460	54356	534	54890	72906	28444	25243	50	105	71	83	65	35	27	41	28	28	29	27	17	5	10	16	4	3	6	19
EC-04I	1262315220	27277	268	27545	36938	11636	15358	16	47	20	24	31	28	14	20	11	16	4	9	8	4	7	4	1	5	9	5
EC-04J	1262319060	57881	506	58387	76996	33664	23290	74	177	94	135	77	41	26	43	37	31	40	38	20	22	17	23	11	9	6	6
EC-04K	1262319000	57454	631	58085	76812	29235	27123	76	216	114	146	82	36	56	57	54	39	45	44	16	17	30	15	12	20	10	11
EC-04L	1262320800	66657	857	67514	91146	33078	32090	104	273	171	184	129	38	83	99	60	49	61	57	30	18	46	18	10	25	20	14
EC-04M	1262319900	62320	1069	63389	85136	35555	25107	117	332	208	209	124	28	84	103	73	51	64	51	40	32	36	22	24	21	24	15
EC-04P	1262315340	30318	300	30618	30618	20184	10025	6	23	9	10	8	12	6	3	3	4	4	3	6	5	1	1	2	1	0	2
EC-05	1262322900	264419	2666	267085	355738	157953	100513	372	1105	623	841	635	157	249	299	340	192	300	174	103	89	117	92	48	86	74	57
EC-05A	1262322900	87949	778	88727	119453	58016	28171	96	360	158	267	250	43	51	75	107	41	85	62	29	27	27	23	11	20	20	10
EC-05B	1262317140	48798	361	49159	64696	31277	16300	90	213	100	188	136	31	46	72	70	44	59	32	21	20	28	20	6	15	15	15
EC-05C	1262318520	54347	650	54997	75154	26996	26013	83	289	159	174	100	34	60	61	75	48	57	39	25	17	29	25	8	16	23	16
EC-05D	1262319540	60388	760	61148	83381	32818	25991	97	232	203	210	139	43	91	88	87	57	97	40	27	25	32	24	22	34	16	15
EC-05P	1262314080	12937	117	13054	13054	8846	4038	6	11	3	2	10	6	1	3	1	2	2	1	1	0	1	0	1	1	0	1
EC-06	1262324220	346382	6462	352844	466440	151604	180604	932	4134	1729	1568	687	339	633	657	452	698	522	268	310	181	294	178	104	192	170	126
EC-06A	1262324220	184128	3693	187821	247069	62604	112866	529	2693	1158	747	340	204	404	441	279	447	320	113	219	99	199	114	62	108	109	73
EC-06B	1262317860	52570	1057	53627	70730	24120	26727	107	531	210	190	94	28	91	80	44	68	73	35	30	17	35	24	8	35	16	7
EC-06C	1262316840	47476	748	48224	65969	29164	16470	127	518	165	312	112	46	53	74	53	69	57	70	21	27	31	22	19	23	17	26
EC-06D	1262317980	52994	875	53869	73369	29618	21474	169	381	196	315	135	58	84	61	76	105	69	48	40	35	29	18	14	26	26	17
EC-06P	1262313540	9214	89	9303	9303	6098	3067	0	11	0	4	6	3	1	1	0	9	3	2	0	3	0	0	1	0	2	3
