entity_id	result_ut	valid	rejected	polled	electors	UNP	UPFA	USP	ULPP	JSP	NLF	ULF	RPP	SLNF	SEP	DUA	SLPF	UNAF
EC-01	1104555840	1114250	12879	1127129	1486021	569627	534431	2628	2174	2057	775	601	519	422	410	398	134	74
EC-01A	1104551580	60111	939	61050	85967	45161	14270	270	101	112	59	39	17	20	27	27	5	3
EC-01B	1104555480	100424	1616	102040	144916	78908	20395	448	117	189	71	93	28	37	37	69	20	12
EC-01C	1104547980	41809	453	42262	60678	25784	15644	115	80	60	32	22	18	17	23	10	3	1
EC-01D	1104548640	46206	694	46900	65732	28832	16919	102	159	66	33	24	11	15	23	13	4	5
EC-01E	1104547020	25865	399	26264	38621	20475	5104	52	129	22	37	10	3	10	10	5	7	1
EC-01F	1104548220	43077	369	43446	58728	24660	18005	67	158	57	34	20	19	13	19	15	5	5
EC-01G	1104549240	49181	557	49738	66432	23743	25004	92	121	76	36	26	23	22	17	16	3	2
EC-01H	1104554460	82028	892	82920	107725	40744	40616	178	117	166	47	34	36	27	24	19	13	7
EC-01I	1104550320	54504	516	55020	73274	27106	26987	83	117	88	31	19	17	18	11	20	3	4
EC-01J	1104555840	113805	1209	115014	148435	47025	65829	192	207	236	59	54	69	42	43	37	8	4
EC-01K	1104554100	79098	865	79963	101065	36227	41936	281	114	209	88	66	51	33	36	31	16	10
EC-01L	1104555720	108882	1035	109917	141974	43477	64433	242	184	206	68	55	62	64	25	44	19	3
EC-01M	1104555000	90425	910	91335	119137	36093	53681	103	173	138	52	41	46	26	35	24	5	8
EC-01N	1104555780	109602	1110	110712	140094	42042	66660	163	192	238	67	59	57	40	37	33	10	4
EC-01O	1104555120	92089	975	93064	115759	43207	48047	232	143	192	52	38	57	33	37	34	13	4
EC-01P	1104546600	17144	340	17484	17484	6143	10901	8	62	2	9	1	5	5	6	1	0	1
EC-02	1104555420	1089277	11724	1101001	1390691	481764	596698	2790	1983	2371	856	609	631	570	343	418	157	87
EC-02A	1104553560	73148	873	74021	94455	40984	31446	200	151	141	47	39	37	37	31	22	8	5
EC-02B	1104552600	65802	799	66601	89361	40805	24236	252	92	141	75	46	37	34	25	42	16	1
EC-02C	1104555060	90528	977	91505	114595	40473	49095	258	177	195	79	52	84	43	18	31	13	10
EC-02D	1104553740	75100	680	75780	93677	34945	39347	217	115	179	79	51	46	48	15	36	15	7
EC-02E	1104554580	82801	982	83783	107553	36345	45537	227	145	196	85	70	38	62	28	42	13	13
EC-02F	1104554880	88220	947	89167	111211	37801	49509	259	162	179	74	59	42	38	29	36	22	10
EC-02G	1104554820	86568	1090	87658	112898	33171	52393	252	208	214	83	40	63	48	35	37	16	8
EC-02H	1104555420	97241	944	98185	124714	34376	62018	197	168	191	70	46	55	42	29	31	9	9
EC-02I	1104555000	90362	973	91335	117040	42606	46950	196	175	167	54	56	51	45	29	19	11	3
EC-02J	1104555360	95380	901	96281	122039	37772	56759	211	155	198	55	42	60	50	29	35	10	4
EC-02K	1104553920	77055	669	77724	97143	30306	45849	227	129	238	61	52	51	56	28	39	11	8
EC-02L	1104553980	78601	754	79355	99193	34685	43249	155	118	183	47	28	42	41	21	23	7	2
EC-02M	1104552000	62387	708	63095	80301	28676	33179	130	101	142	37	26	23	20	20	23	5	5
EC-02P	1104547080	26084	427	26511	26511	8819	17131	9	87	7	10	2	2	6	6	2	1	2
EC-03	1104554760	615860	6517	622377	781175	266043	341693	2623	865	1921	614	424	468	422	215	339	165	68
EC-03A	1104554160	79921	762	80683	101328	33034	46097	216	128	182	85	47	46	25	23	22	14	2
EC-03B	1104554760	86291	870	87161	107308	34749	50481	341	105	279	63	72	52	59	21	40	23	6
EC-03C	1104554220	80089	802	80891	100085	34300	44801	293	134	232	68	53	56	54	21	48	15	14
EC-03D	1104550920	56179	644	56823	71080	25918	29218	371	85	251	81	36	46	66	28	40	30	9
EC-03E	1104553500	71982	756	72738	93479	30853	40006	379	105	271	67	58	65	60	29	53	23	13
EC-03F	1104554040	78930	808	79738	102020	32916	45143	237	91	222	63	43	76	48	37	36	13	5
EC-03G	1104553860	75851	885	76736	99026	37390	37402	372	105	224	84	55	66	48	27	47	21	10
EC-03H	1104553380	70081	656	70737	89979	31449	37518	408	81	254	91	56	57	57	24	52	26	8
EC-03P	1104546540	16536	334	16870	16870	5434	11027	6	31	6	12	4	4	5	5	1	0	1
EC-04	1104555660	712620	9817	722437	933754	387150	315672	2775	1091	2589	717	529	487	584	307	372	219	128
EC-04A	1104547620	38269	382	38651	50898	20177	17453	177	48	200	49	43	25	42	15	20	12	8
EC-04B	1104555660	104777	1432	106209	138171	59899	43540	390	147	322	91	84	72	77	33	62	39	21
EC-04C	1104550260	53433	885	54318	71823	31957	20610	284	100	206	73	39	32	50	29	27	17	9
EC-04D	1104547920	40934	564	41498	52747	20269	19973	186	55	207	68	33	36	46	14	28	9	10
EC-04E	1104547260	32567	452	33019	41465	16646	15367	176	45	138	43	35	23	38	13	22	17	4
EC-04F	1104551400	59372	746	60118	77020	31321	27385	204	83	169	33	26	40	35	28	24	20	4
EC-04G	1104548580	45664	660	46324	61006	25874	19058	233	55	231	48	38	23	38	14	28	14	10
